GIDBG,State_name,County,Tract,Block_group,LAND_AREA,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010021024,District of Columbia,001,002102,4,0.049,1084,157,13,0,0,0,13,12.63,13.99,3.53,0,0,0,3.53
110010021025,District of Columbia,001,002102,5,0.031,715,125,0,0,0,0,0,19.7,21.7,0,0,0,0,0
110010021026,District of Columbia,001,002102,6,0.046,663,209,0,0,0,0,0,23.31,12.61,0,0,0,0,0
110010022011,District of Columbia,001,002201,1,0.056,914,182,0,0,0,0,0,23.72,9.61,0,0,0,0,0
110010022012,District of Columbia,001,002201,2,0.067,1093,258,0,0,0,0,0,27.02,13.39,0,0,0,0,0
110010022013,District of Columbia,001,002201,3,0.037,797,337,0,0,0,23,23,19.16,9.79,0,0,0,7.8,7.8
110010022021,District of Columbia,001,002202,1,0.19,1752,756,60,0,0,0,60,24.57,41.37,9.22,0,0,0,9.22
110010022022,District of Columbia,001,002202,2,0.038,684,101,0,0,0,11,11,19.33,3.54,0,0,0,3.83,3.83
110010022023,District of Columbia,001,002202,3,0.041,574,40,0,0,0,0,0,17,0,0,0,0,0,0
110010023011,District of Columbia,001,002301,1,0.07,1473,150,0,0,0,0,0,12.67,0.58,0,0,0,0,0
110010023012,District of Columbia,001,002301,2,0.089,1852,531,53,0,0,0,53,14.07,29.15,7.04,0,0,0,7.04
110010023021,District of Columbia,001,002302,1,0.776,1661,218,0,8,0,0,8,4.13,4.27,0,1.04,0,0,1.04
110010024001,District of Columbia,001,002400,1,0.038,754,142,0,0,0,0,0,25.75,16.16,0,0,0,0,0
110010024002,District of Columbia,001,002400,2,0.083,1249,227,34,0,0,0,34,17.45,22.71,7.36,0,0,0,7.36
110010024003,District of Columbia,001,002400,3,0.042,936,216,0,6,0,0,6,16.77,18.42,0,2.45,0,0,2.45
