GIDBG,State,State_name,County,County_name,Tract,Block_group,Flag,LAND_AREA,AIAN_LAND,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,Tot_Population_CEN_2010,Tot_Population_ACS_13_17,Pop_18_24_ACS_13_17,Pop_25_44_ACS_13_17,Pop_45_64_ACS_13_17,Pop_65plus_ACS_13_17,Hispanic_ACS_13_17,NH_White_alone_ACS_13_17,NH_Blk_alone_ACS_13_17,NH_AIAN_alone_ACS_13_17,NH_Asian_alone_ACS_13_17,Pop_5yrs_Over_ACS_13_17,Othr_Lang_ACS_13_17,ENG_VW_SPAN_ACS_13_17,ENG_VW_INDO_EURO_ACS_13_17,ENG_VW_API_ACS_13_17,ENG_VW_OTHER_ACS_13_17,ENG_VW_ACS_13_17,Mail_Return_Rate_CEN_2010,Low_Response_Score,pct_Pop_18_24_ACS_13_17,pct_Pop_25_44_ACS_13_17,pct_Pop_45_64_ACS_13_17,pct_Pop_65plus_ACS_13_17,pct_Hispanic_CEN_2010,pct_Hispanic_ACS_13_17,pct_NH_White_alone_CEN_2010,pct_NH_White_alone_ACS_13_17,pct_NH_Blk_alone_CEN_2010,pct_NH_Blk_alone_ACS_13_17,pct_NH_AIAN_alone_CEN_2010,pct_NH_AIAN_alone_ACS_13_17,pct_NH_Asian_alone_CEN_2010,pct_NH_Asian_alone_ACS_13_17,pct_NH_NHOPI_alone_CEN_2010,pct_NH_NHOPI_alone_ACS_13_17,pct_NH_SOR_alone_CEN_2010,pct_NH_SOR_alone_ACS_13_17,pct_ENG_VW_SPAN_ACS_13_17,pct_ENG_VW_INDOEURO_ACS_13_17,pct_ENG_VW_API_ACS_13_17,pct_ENG_VW_OTHER_ACS_13_17,pct_ENG_VW_ACS_13_17
110010098112,11,District of Columbia,001,District of Columbia,009811,2,,0.089,0,2241,0,0,2241,3148,324,1010,601,276,0,0,3054,0,0,2944,116,0,0,0,0,0,66.8,33.3,10.29,32.08,19.09,8.77,0.58,0,0.31,0,97.14,97.01,0.31,0,0.13,0,0,0,0.27,0,0,0,0,0,0
110010099011,11,District of Columbia,001,District of Columbia,009901,1,,0.1,0,717,0,0,717,1062,75,356,257,167,43,38,889,0,17,1024,70,0,0,0,0,0,79.8,19.7,7.06,33.52,24.2,15.73,1.26,4.05,2.65,3.58,93.72,83.71,0.42,0,0.42,1.6,0,0,0,0,0,0,0,0,0
110010099012,11,District of Columbia,001,District of Columbia,009901,2,,0.711,0,1532,0,0,1532,1828,208,384,541,470,13,57,1576,0,169,1744,36,0,7,0,0,7,84.6,19.7,11.38,21.01,29.6,25.71,1.96,0.71,3.59,3.12,91.97,86.21,0.78,0,0,9.25,0,0,0.07,0,0,1.12,0,0,1.12
110010099021,11,District of Columbia,001,District of Columbia,009902,1,,0.391,0,1123,0,0,1123,803,102,160,203,220,2,43,737,0,0,803,0,0,0,0,0,0,79.0,25.3,12.7,19.93,25.28,27.4,1.96,0.25,1.25,5.35,95.01,91.78,0.45,0,0.09,0,0,0,0.27,0,0,0,0,0,0
110010099022,11,District of Columbia,001,District of Columbia,009902,2,,0.109,0,1782,0,0,1782,2317,168,786,628,325,0,14,2292,0,11,2215,111,15,0,0,0,15,79.2,29,7.25,33.92,27.1,14.03,1.23,0,0.56,0.6,96.63,98.92,0.34,0,0.11,0.47,0,0,0.06,0,2,0,0,0,2
110010099031,11,District of Columbia,001,District of Columbia,009903,1,,0.063,0,976,0,0,976,1122,141,362,276,108,8,42,1001,53,0,1070,90,0,0,0,0,0,83.0,28.4,12.57,32.26,24.6,9.63,2.56,0.71,1.23,3.74,93.24,89.22,0.1,4.72,0.2,0,0,0,0.31,1.6,0,0,0,0,0
110010099032,11,District of Columbia,001,District of Columbia,009903,2,,0.082,0,875,0,0,875,830,23,270,256,120,0,49,748,0,0,805,51,0,0,0,0,0,87.3,21,2.77,32.53,30.84,14.46,0.57,0,0.46,5.9,97.14,90.12,0.11,0,0,0,0,0,0,0,0,0,0,0,0
110010099041,11,District of Columbia,001,District of Columbia,009904,1,,0.082,0,762,0,0,762,1265,125,354,169,49,476,9,736,0,0,916,303,10,0,0,8,18,68.9,38.1,9.88,27.98,13.36,3.87,15.09,37.63,1.84,0.71,82.41,58.18,0.26,0,0.13,0,0,1.19,0,0,2.99,0,0,2.39,5.37
110010099042,11,District of Columbia,001,District of Columbia,009904,2,,0.082,0,1481,0,0,1481,1714,251,430,477,47,15,43,1639,0,0,1511,17,0,0,0,0,0,70.8,35.5,14.64,25.09,27.83,2.74,3.17,0.88,0.54,2.51,94.26,95.62,0.27,0,0.41,0,0,0,0.07,0,0,0,0,0,0
110010099051,11,District of Columbia,001,District of Columbia,009905,1,,0.072,0,1212,0,0,1212,1022,81,332,338,94,126,2,894,0,0,928,95,0,0,0,0,0,70.6,33.3,7.93,32.49,33.07,9.2,1.9,12.33,0.58,0.2,94.8,87.48,0.25,0,0.25,0,0,0,0.08,0,0,0,0,0,0
